time Ax Ay Az Gx Gy Gz
20 2.93090427 4.67043309 -4.424653350000001 1.457395 -0.578497 0.613398
40 0.50280174 13.444291080000001 4.28558679 1.530359 0.736503 0.17211600000000002
60 -0.22872015 16.013549700000002 1.4883535800000003 0.714753 1.473725 0.067197
80 1.5908877000000001 12.41054271 3.0961635300000006 -0.162106 0.311492 0.298639
100 4.756662990000001 8.86890708 4.40653428 -1.21981 -0.070461 -0.235961
120 3.5034649200000003 7.8580552500000005 3.77515287 -1.580862 -0.786732 -0.619989
140 0.95216841 7.10946396 2.9262641400000002 -1.225025 -4.540722 -0.938501
160 -0.12498921000000002 5.94563499 1.3861137600000002 -1.911197 -3.208015 -1.952335
180 -0.9780668100000001 6.170166270000001 0.12393954 -2.824604 -0.107529 -2.624985
200 -1.78099569 8.61593661 -0.76011804 -2.448053 -3.2841190000000005 -2.700538
220 -2.51238024 12.582688590000002 0.2168991 -2.297162 -4.8343300000000005 -1.974311
240 -4.05971154 15.59202381 3.12520113 -2.555264 -2.497057 -2.0314520000000003
260 -4.25520522 11.73530079 4.13230554 -2.23326 -0.151766 -2.730825
280 -2.9410870500000006 10.34094663 3.0570903000000005 -1.455934 1.186334 -3.4321370000000004
300 -3.83681853 11.370957390000001 7.81569567 -1.123782 0.155585 -3.829079
320 -6.8693642100000005 14.36383143 6.52941828 -1.168668 -1.354433 -3.659747
340 -7.994571210000001 16.05875418 -6.29845164 -1.189607 -2.425917 -3.155387
360 -9.636961410000001 17.441277480000007 -7.2530136899999995 -0.907535 -2.907678 -2.537504
380 -10.445432940000002 16.01385381 2.0071750500000003 -0.474676 -3.038672 -2.123047
400 -1.9625689800000001 17.27842167 -2.9324052000000003 -0.327952 -2.977877 -1.470485
420 6.472245600000001 19.66431177 -7.15856301 0.312933 -2.076518 -0.7290220000000001
440 7.97107626 18.51455034 -6.690635820000001 1.256894 -0.931157 0.002495
460 1.9520919 13.07246265 -4.997802600000001 1.711294 -0.32369499999999995 0.875492
480 -3.4408967400000003 9.973905479999999 -2.0989377900000004 1.985136 -0.393596 1.60068
500 -5.171890860000001 8.80215003 -3.55735125 2.384622 -0.14416700000000002 1.748429
520 -4.16509056 9.51585696 -3.8148147000000003 2.409905 0.36346 1.853709
540 -2.6200057500000002 10.341692190000002 -3.4973238600000003 2.271766 0.555527 2.160146
560 -1.49449464 9.48277764 -3.16246932 2.320091 0.7347319999999999 1.792786
580 1.052613 7.08865695 -2.8607039100000002 2.321013 0.988804 1.125896
600 4.14323388 4.0600058400000005 -3.17160243 1.953537 0.653108 0.413392
620 5.6080925100000005 0.6749476200000001 -2.28275757 1.078245 0.12631199999999998 -0.021472
640 1.77965172 1.1599344 -2.09190402 0.382744 1.013375 0.126357
660 1.2500490600000003 -1.5633510300000002 -1.7071950599999999 0.680127 0.368718 0.974224
680 2.30340762 -2.5255452600000003 -1.20694392 0.5390590000000001 -3.60982 1.561586
700 3.04721163 -0.7804737900000001 0.84992859 1.181111 -6.694427 0.8981120000000001
720 2.06689833 2.34307926 2.4556392 1.480618 -4.304469 0.502967
740 0.07963758 8.72700543 4.541853420000001 1.703944 2.435314 -0.4345310000000001
760 -2.7526271400000004 19.019598570000003 2.98943073 0.209347 5.824525 -0.8787389999999999
780 -6.68165967 23.012847360000002 -2.2537101600000002 -0.955142 -0.489563 -1.151178
800 -6.85903428 13.13219574 -1.91556927 -1.374201 0.202701 -0.7469319999999999
820 -6.12331371 6.842867399999999 -0.51822306 -2.6894400000000003 -0.950484 -0.533519
840 -5.088819780000001 3.37084353 1.7275606200000002 -3.411277 0.618434 -1.446424
860 -2.4957621000000003 1.3608235800000001 2.19817575 -3.71105 1.296713 -2.441765
880 2.57045544 -1.78353648 -4.32690651 -3.142321 0.538312 -3.218759
900 8.888811570000001 -4.960387260000001 1.1951130600000002 -2.831356 0.075081 -3.79497
