time Ax Ay Az Gx Gy Gz
20 0.82284318 6.7181823000000005 0.21899844000000002 1.700061 4.852391000000001 -0.954675
40 -6.04996434 -0.20372427 2.01032406 -0.299031 -0.112867 -0.286091
60 -6.51594915 -5.401817639999999 3.2974941600000003 -0.92462 0.839476 -1.869445
80 -4.96203534 -9.297613890000001 8.276137830000001 -2.439356 -0.6629189999999999 -1.533065
100 -1.2849236099999999 -10.806480180000003 5.0404662899999995 -2.193196 0.690214 -1.53842
120 2.93315076 -1.0330028100000002 -2.6144631000000005 -1.949079 -1.247551 -2.008523
140 9.24686676 11.3860746 -22.85672121 -3.693511 -0.835082 -1.348256
160 11.913430770000002 22.78351899 -7.84293804 -2.887009 1.237353 -1.63263
180 -0.1360647 4.6330177500000005 14.362330500000002 -1.718922 1.416601 -1.650338
200 -9.1883403 -1.4964370200000001 11.423489940000001 -1.3857270000000002 2.0869150000000003 -2.002451
220 -18.497186640000002 34.25851143 -56.57096402999999 -0.890855 1.517848 -1.58059
240 5.112167580000001 11.56090842 27.892400220000003 -0.812091 1.3925379999999998 -0.94856
260 5.42172213 2.99946636 5.4666323100000005 0.00282 -0.217746 0.104984
280 1.3705452900000001 4.61505564 3.9365175600000004 0.480115 -1.701353 0.675309
300 2.77028514 24.366480210000002 2.80771029 1.305438 -2.3534080000000004 1.317501
320 5.56153425 24.915987360000006 -0.44202879000000006 2.443243 -1.6864669999999995 1.642925
340 5.45091669 16.128660240000002 -1.89536067 3.197186 -1.661075 1.033931
360 1.10350728 19.42525188 -0.0230535 3.779805 -1.844552 0.591719
380 -4.0222863900000005 20.84520033 -7.45869015 3.503915 -1.537419 1.279469
400 -0.11391372000000001 17.46927522 -5.88486204 4.02075 0.376091 2.625519
420 6.02901018 15.842600640000002 -7.719292800000001 3.629445 1.758657 3.004506
440 6.8096409300000005 9.91972485 -3.70105794 3.42884 1.028623 2.992289
460 5.50150686 -0.20492109000000003 -5.457803310000001 2.253651 2.753761 1.501314
480 9.309739050000001 0.09624591 -5.21170965 2.303273 1.491401 2.258512
500 9.22501989 -1.84940082 -5.24674116 1.827793 -1.030623 2.266968
520 5.37996096 -1.0490225400000002 -2.40954201 0.828391 -2.331616 1.608971
540 -3.17055276 4.91727231 -4.8675748500000005 0.018687 -2.6927790000000003 0.988482
560 -6.6684848400000005 7.38952965 -5.511238379999999 -0.965109 -2.650435 0.5767
580 -4.90110543 9.21079539 -0.37811664000000006 -2.322161 -0.649133 -0.288853
600 -0.6441147900000002 16.86079035 -1.13284899 -3.950486 1.6912080000000005 -0.990093
620 4.35699378 29.93026095 -0.060772950000000006 -4.376596 3.740972 -1.462509
640 -4.48482789 21.03590673 0.5298969600000001 -2.380455 2.977865 -1.502067
660 -0.6683553 29.279563650000004 -0.99588177 -0.24557 1.204164 -0.419865
680 2.4881299200000004 18.92799279 -3.4712783100000006 0.644456 1.6272950000000002 1.149687
700 8.08917885 15.404162310000002 -5.4169348500000005 -1.058385 3.412732 1.2850549999999998
720 6.990164550000001 13.257027990000001 -2.23335441 -1.944152 0.6130680000000001 -0.046412
740 5.90716998 11.90219832 1.93427694 3.608216000000001 -7.567661999999999 -2.339756
760 3.00410649 10.435848570000001 0.15358536 -0.019844 2.314579 0.08342100000000001
780 -3.97153926 2.8747714500000003 1.06638624 -0.377824 1.021512 -2.04532
800 -8.38945314 -4.86264042 1.35887139 -1.887372 0.418889 -2.68107
820 -4.81967262 -7.569906120000001 4.06943325 -2.923835 -0.7412380000000001 -2.305468
840 -2.4876786600000003 -8.774750700000002 6.141432780000001 -2.423319 0.343403 -1.722249
860 1.5982255800000003 -2.56670802 1.16636976 -3.107025 -0.5903930000000001 -1.508979
880 3.22564572 3.15588681 -8.801698770000002 -3.266476 0.8309290000000001 -1.16581
900 8.908725870000001 15.17649183 -15.02575137 -1.7929580000000005 1.461888 -1.988471
920 7.35450795 11.98632888 4.39172118 -1.547827 1.496776 -2.134218
940 -8.16222411 1.50197967 9.59235534 -1.224384 2.289114 -2.091314
960 -12.99207951 32.868797400000005 -34.506988920000005 -0.860015 1.870858 -1.441958
980 3.5096059800000003 12.22987194 22.199284440000003 -0.4226180000000001 0.822975 -0.577642
1000 0.04715667 1.1868824699999998 1.85913234 0.390403 -0.458391 0.274643
1020 -1.8917702100000002 8.19441072 6.36042141 0.582858 -2.257062 0.761128
1040 1.02027924 25.90857297 4.36147695 1.979324 -2.014561 1.509781
1060 9.74967831 25.134230430000002 1.8507546000000001 2.877034 -1.670541 1.280602
1080 5.64715593 15.700404690000001 -0.2083644 3.4316160000000004 -2.42574 1.046162
1100 0.48229884 21.068240489999997 -3.0347921700000002 3.40878 -3.958214 1.749788
1120 -3.8550847500000005 20.8838223 -7.622752590000001 4.0960800000000015 0.552424 2.419652
1140 0.9535123800000002 16.955241030000003 -7.62215418 3.741203 3.023046 2.6650400000000003
1160 5.66212599 15.66522603 -5.4865368000000005 3.624342 -0.338585 3.469698
1180 7.29014454 9.28593999 -3.91061916 2.457601 2.572948 1.520062
1200 7.69998672 0.33978897 -6.4174567499999995 2.348511 1.286119 2.672493
1220 9.715392360000001 0.52286319 -5.969885310000001 1.923017 -0.62753 2.612152
1240 8.414449020000001 -1.81751832 -5.18506569 1.11181 -2.42067 2.320364
1260 5.982756030000001 -2.5851213900000003 -2.5631175600000002 0.309759 -2.287595 1.439717
1280 -2.6577252000000002 4.44605877 -3.04242435 -0.7960510000000001 -2.369638 0.273077
1300 -3.98830455 11.440706490000002 -3.6824876100000004 -2.214642 -0.863823 0.02623
1320 -0.38784816000000005 16.62413391 -3.8284407900000006 -3.720185 1.573676 -0.835578
1340 1.34614782 24.138956880000002 4.6747789200000005 -3.899802 3.730844 -1.208133
1360 -4.09848066 18.3129156 3.2385164399999997 -2.090136 2.341754 -1.452223
1380 -6.0990633899999995 23.897052090000003 -8.03798046 -0.657289 0.402611 -1.011372
1400 3.7613796300000004 30.38905503 0.8114635800000001 0.8748950000000001 1.538096 0.347039
1420 9.39266298 17.222436000000002 -5.338199790000001 -0.540998 3.585625 0.757541
1440 5.65210017 15.07066155 -2.6364669300000005 -1.649112 1.265811 -0.234263
1460 5.5440234 13.087736820000002 0.6435163800000001 2.604976 -7.209285 -2.380338
1480 2.21569641 11.5685406 1.9434100500000002 1.449958 2.763769 -0.568117
1500 0.15297714 6.8166747 0.21285737999999998 0.224805 0.987662 -1.562504
1520 -6.39110709 -3.89010645 2.33588853 -1.3748479999999998 0.496322 -1.977904
1540 -5.8133079 -8.18602317 6.17840667 -3.15035 -0.943184 -1.957483
1560 -4.58765631 -10.869941070000001 10.267146 -3.276742 0.803519 -1.760847
1580 -4.871920680000001 -12.19978467 3.35123334 -2.681576 -0.24334 -1.820509
1600 -0.80966835 -0.77329287 -4.08560013 -3.334692 -0.18266 -1.245105
1620 3.47023845 8.08798203 -19.04714505 -2.235421 1.466982 -1.813175
1640 9.532475100000001 19.004481360000003 -6.467752620000001 -1.722751 0.922688 -2.006518
1660 0.14789556 8.297248950000002 12.14633979 -1.169456 2.265199 -1.753341
1680 -10.86350571 8.3810754 -0.6765957 -0.978559 2.298638 -1.224349
1700 -2.1911419800000003 29.875324950000003 3.0573944100000006 -0.614193 0.65133 -0.377934
1720 4.22870841 10.28406825 15.012429390000001 0.354219 -0.654362 0.296006
1740 0.41493357000000003 -2.8978249500000004 1.00246428 0.8200219999999999 -2.191822 0.75736
1760 0.07888221 14.53746843 8.487798390000002 2.112769 -1.348966 1.444699
1780 4.31926452 27.341696250000002 5.95087353 2.8925110000000003 -1.07829 1.277815
1800 9.277552440000001 20.726793630000003 -2.84947146 3.767326 -1.657374 0.946041
1820 4.36492026 18.639539550000002 -2.6918541900000004 3.732335 -2.814912 1.404479
1840 0.7264403100000001 20.0853864 -4.151915730000001 3.868776 -1.703453 2.788424
1860 -1.80285237 19.08680688 -8.88986124 4.236398 2.145625 2.943088
1880 1.74701385 15.81281748 -5.585333310000001 3.5790870000000004 2.158639 3.454431
1900 5.62889952 12.49331949 -3.0907680300000004 2.64203 0.414236 2.008021
1920 5.75373177 3.75538572 -5.87827953 2.7806900000000003 1.483949 2.376156
1940 8.91097236 -0.99752985 -7.000788780000001 1.871138 0.13989300000000002 2.816973
1960 9.18938997 -0.57210939 -6.06928023 0.969713 -2.100041 2.4482150000000003
1980 6.30787905 -3.3275814300000004 -1.7980650900000001 0.2394 -2.518164 2.149889
2000 -0.36240102 2.35894203 -4.77297702 -0.275194 -2.559786 0.752318
2020 -4.28558679 6.4834682400000005 -5.833673460000001 -1.789273 -1.812952 -0.615857
2040 -3.1786362 9.15421131 -2.34487449 -3.739031 0.849723 -0.927717
2060 1.72740366 15.76730889 -0.68961357 -4.774682 3.823821 -1.58931
2080 6.79242438 28.37874078 2.8868966100000004 -3.17007 4.0098650000000005 -2.351732
2100 -0.9322639200000001 20.34105462 4.78719171 -0.8826510000000001 1.577783 -1.923509
2120 -8.081242560000002 22.80552282 -12.156816870000002 1.767941 -0.843802 0.091411
2140 5.69041803 26.18265456 -2.6101270800000003 -0.147673 3.889619 1.383741
2160 7.52964588 15.32797785 -4.32330624 -1.301605 1.491502 0.29985
2180 6.3538389 14.76859203 -3.63204459 -0.334725 -2.674004 -1.797797
2200 5.275180350000001 11.72915973 1.86302691 2.922945 0.310494 -0.792898
2220 4.542000570000002 10.481357160000002 1.29675447 0.123307 2.215358 -0.5350199999999999
2240 -0.25776756 3.80808504 -0.17573634 -0.70303 0.94218 -2.1703360000000003
2260 -4.93164396 -2.4460646400000003 2.26239201 -2.468595 -1.542667 -2.082276
2280 -6.3978465600000005 -9.2458269 5.5362342600000005 -2.701867 -0.072358 -1.405332
2300 -6.96816072 -11.483821440000002 7.67992527 -2.022219 0.043089 -1.294979
2320 -3.55106304 -8.42941908 1.97275176 -3.246253 -0.249068 -1.7635580000000002
2340 2.35954044 2.84169213 -6.83358714 -2.858523 1.1753209999999998 -1.862019
2360 10.27358136 15.7733028 -20.49912315 -2.27858 1.4717870000000002 -2.177747
2380 13.767167610000001 23.404129020000003 -2.5116248700000003 -1.680864 2.183779 -1.993955
2400 -4.79543211 4.55113368 15.5712168 -1.2550709999999998 2.285529 -1.435635
2420 -16.34855139 18.97843581 -36.93464019 -0.719495 1.380346 -0.91051
2440 -0.66222405 11.896812630000001 23.59153926 0.25040300000000004 -0.161472 -0.329193
2460 2.68286823 4.53601647 8.62057674 0.7294619999999999 -1.041921 0.452947
2480 1.9296368099999999 4.41506898 2.5743500100000003 1.535386 -1.608143 1.225217
2500 5.051394629999999 19.55698056 5.009927760000001 2.569389 -1.609335 1.42579
2520 8.88641793 24.111263250000004 3.9037325400000005 3.421143 -1.787022 1.167048
2540 3.16442151 14.27716008 -3.7422207 3.870796 -2.093495 1.228265
2560 0.47271447000000005 18.51290226 0.2083644 3.407199 -2.28718 2.112968
2580 -0.20941407000000004 19.0965384 -5.010683129999999 3.864349 0.068703 3.173886
2600 1.30349394 18.63205452 -7.622301330000001 3.306508 3.221591 3.206542
2620 5.4384874199999995 17.63662401 -5.22189243 2.934833 -1.0556 3.289544
2640 7.043305320000001 12.53358954 -4.2950142 2.262845 0.794673 1.770945
2660 6.816821850000001 1.88787564 -6.109697430000001 1.972088 1.373427 2.477471
2680 10.63344159 -1.43072964 -5.67230877 1.117704 -0.699897 2.493388
2700 10.2696966 -2.24862858 -5.75178939 0.1679 -2.267753 1.927946
2720 3.2693492699999998 1.52726985 -3.4868467800000005 -0.354189 -2.522199 1.277283
2740 -1.2590350200000002 4.540058190000001 -5.97318147 -1.499445 -2.245678 -0.012937
2760 -1.91631483 4.86652518 -4.527785880000001 -3.518075 0.289062 -1.037619
2780 -1.41380739 8.84360709 -1.09437417 -4.673229 3.231735 -1.728847
2800 2.2671891000000004 16.24527171 -1.8359316900000002 -3.071572 3.3927620000000003 -2.09388
2820 5.915694870000001 29.04245595 2.5924592700000004 -1.397076 1.332192 -2.131886
2840 0.18082773000000002 24.005884230000003 3.8706532200000003 0.7013020000000001 -0.251671 -0.806628
2860 -5.8679496 22.197793320000002 -10.60948557 0.156471 3.135432 0.8473799999999999
2880 1.4784749099999999 22.161859290000002 -1.65062079 -1.257203 0.6712640000000001 0.521265
2900 9.00511893 14.24946645 -3.7187159400000005 -1.504549 -1.1281370000000002 -1.089036
2920 8.1584865 12.72054852 -2.8898886600000004 3.404285 -0.226721 -1.130678
2940 3.9682431 10.244543759999999 0.8297199900000001 1.065453 1.609946 -0.202924
2960 2.2781174400000004 7.531137000000001 1.02417381 -0.064456 3.009729 -1.887582
2980 -1.05335856 1.8627228 1.31381406 -1.922331 -1.612562 -2.392428
3000 -5.5223138700000005 -4.0664412 4.27465845 -3.726867 -1.169434 -1.621526
3020 -5.98710186 -8.26431678 7.14674196 -2.002793 2.527843 -1.710361
3040 -5.50195812 -10.388544750000001 5.1641115300000004 -2.918143 -0.339771 -1.74299
3060 0.37467332999999997 -1.27939077 0.10148445 -3.368847 0.843843 -1.6419009999999998
3080 2.92087845 5.18970582 -11.34969912 -1.847445 1.043975 -2.392104
3100 10.177335450000003 17.72195139 -12.299326740000001 -1.7268279999999998 1.875217 -2.046223
3120 4.614153120000001 13.58140545 2.9564985600000004 -1.055695 2.241109 -1.688423
3140 -9.155260980000001 6.61340169 6.329588580000001 -0.804084 1.645401 -1.0535139999999998
3160 -12.41668377 30.949039260000003 -27.373578750000004 -0.174776 0.0951 -0.187213
3180 4.328848890000001 10.53180018 20.019365099999998 0.614279 -0.932201 0.553483
3200 2.65622427 2.70771696 3.2882139 1.323208 -1.853332 1.186662
3220 -0.14309847 2.7361561500000002 5.26290804 2.430898 -1.375251 1.614666
3240 3.9926503800000006 23.108642010000004 6.91442154 3.274748 -1.173679 1.357519
3260 9.087150150000001 22.71915558 2.55742776 3.915333 -1.433215 1.237344
3280 4.673130840000001 15.353268030000002 -4.91038569 3.65611 -1.514609 2.101966
3300 3.17040561 18.28567323 -1.46589849 3.474572 -0.851626 3.759865
3320 0.15118191 20.23716672 -7.68008223 3.3688870000000004 2.511601 3.813569
3340 2.0959457400000003 18.74177937 -7.430398110000001 2.780463 0.160922 3.960954
3360 6.10745094 16.998797430000003 -4.77582192 2.656445 -0.213958 2.447966
3380 5.871392910000001 9.22112532 -4.24442403 2.1361790000000003 1.329387 2.9583060000000003
3400 6.72012468 0.70413237 -5.68817154 1.211024 -0.013305 3.072137
3420 9.79727643 -0.70458363 -6.519539610000002 0.244798 -2.116114 2.301099
3440 8.13198969 -3.14870589 -3.61333692 -0.406998 -2.203346 1.239118
3460 1.07387127 1.7574909300000001 -4.36432185 -1.062977 -1.889863 -0.393836
3480 -1.46455452 5.157529020000001 -6.1929254700000005 -2.487629 -0.107239 -1.393109
3500 -2.60937171 6.662490930000001 -4.04115102 -3.423054 2.760357 -2.147868
3520 -1.20933756 8.83372842 -0.96429357 -2.416056 3.567962 -2.252964
3540 3.5034649200000003 16.534911960000002 0.26599815 -1.043208 1.243876 -1.665693
3560 11.57722245 36.45384228 1.7378905500000001 -0.604023 -0.15475 0.594183
3580 0.9210314700000001 26.004377429999998 1.19975319 -1.972129 2.556384 1.2445190000000002
3600 -4.90739364 21.52329696 -8.2336311 -0.933629 0.208986 0.22822
3620 3.5892337500000004 19.62254079 -2.62823634 1.177924 -7.821844 -1.670608
3640 5.8586693400000005 14.852565629999999 -4.5927477 3.209294 3.05654 -3.376309
3660 5.493129120000001 10.4199858 -2.39082453 -0.769824 5.726386 -0.795722
3680 2.00942154 8.79062328 0.9669913200000001 0.4403 0.19656 -2.114392
3700 3.8429595900000004 5.61168297 -1.12505985 -2.167599 -1.545824 -2.352566
