time Ax Ay Az Gx Gy Gz
20 -4.65666966 1.0431855900000004 8.56234458 -0.061979 0.118959 0.141488
40 -4.69573308 0.9831582000000001 8.486307270000001 -0.069509 0.08922200000000001 0.12545
60 -4.659357600000002 0.92267955 8.509802220000001 -0.050282 0.06689500000000001 0.097839
80 -4.724623530000001 0.87089256 8.52776433 -0.058514 0.079925 0.043286
100 -4.85934426 0.76461102 8.54108631 -0.043578 0.042738 0.00605
120 -4.65038145 0.80682345 8.522231490000001 -0.024466 0.012882 -0.003392
140 -4.63391046 0.7156591200000001 8.632996200000001 -0.016969 0.034101 0.011588
160 -4.40848647 0.8211951000000001 8.571928950000002 -0.006344 0.042514 0.029811
180 -4.59469989 0.92447478 8.67535578 -0.003081 0.046802 0.020215
200 -4.72732128 0.9473811300000001 8.62581528 -0.005099 0.054339 0.002031
220 -4.542000570000002 1.06354134 8.49738276 -0.00188 0.037368 -0.019289
240 -4.82147766 1.0645910100000002 8.473878000000001 -0.00075 0.026810000000000004 -0.043837
260 -4.9804389 0.9339120000000001 8.39079711 0.008837000000000001 0.029947 -0.037364
280 -4.865779620000001 0.7824259800000002 8.40307923 0.013018 0.015001 -0.033043
300 -4.804408260000001 0.6963530400000001 8.500374810000002 0.007717 0.017172 -0.038424
320 -4.70247255 0.67284828 8.45890794 0.01086 0.002255 -0.040519
340 -4.62598398 0.79888716 8.501571629999999 0.021419 -0.013794999999999998 -0.031879000000000005
360 -4.707259830000001 0.8110123200000001 8.53060923 0.019194 -0.018113 -0.015865999999999998
380 -4.7145977100000005 0.8478390600000001 8.51354964 0.023356 -0.026709 -0.0008710000000000001
400 -4.79393118 0.8282288700000001 8.461752839999999 0.024514 0.00732 0.012981
420 -4.82476401 0.73931103 8.45187417 0.035043 0.023074 0.060036
440 -4.66834356 0.7232913 8.42912478 0.019964 0.053768 0.122916
460 -4.73151015 0.8491830300000001 8.486454420000001 -0.007693000000000002 0.127146 0.178176
480 -4.74557769 0.92372922 8.55231876 -0.007587999999999998 0.174985 0.202685
500 -4.68436329 0.9274668300000001 8.5575573 -0.01941 0.17813199999999998 0.225031
520 -4.635411390000001 0.8940932100000001 8.569525500000001 0.009635 0.182489 0.17609
540 -4.58870598 0.8952900300000001 8.540036640000002 0.00491 0.248831 0.106538
560 -4.75231716 0.8406483299999999 8.703049410000002 -0.020685 0.199062 0.05408
580 -4.64244516 0.7518874500000001 8.69811498 -0.05855800000000001 0.071399 0.044365
600 -4.38917058 0.5890218299999999 8.63658666 -0.069523 -0.010525 0.02837
620 -4.39845084 0.62689824 8.61129648 -0.0858 -0.053152 0.046471
640 -4.44066327 0.79664067 8.61458283 -0.090278 -0.102131 0.044366
660 -4.55098653 0.86235786 8.713526490000001 -0.084488 -0.055061 -0.010134
680 -4.44171294 1.0027683900000002 8.64452295 -0.056954 0.043225 -0.104071
700 -4.37525019 1.2582796500000002 8.744810580000001 -0.037266 0.075419 -0.179818
720 -4.7006773200000005 1.43132805 8.640029970000002 -0.050809 0.10016 -0.228015
740 -4.91038569 1.33103061 8.316103770000002 -0.098813 0.0876 -0.242221
760 -5.10094494 1.2189121200000002 8.263865520000001 -0.126763 0.048252 -0.234888
780 -5.15138796 1.18403757 8.46130158 -0.142842 0.039752 -0.226444
800 -4.978800629999999 1.061442 8.35247925 -0.206854 0.052708000000000005 -0.214089
820 -4.84841592 1.06084359 8.34125661 -0.274277 0.06018200000000001 -0.16009
840 -4.43482632 1.17970155 8.57147769 -0.30349 0.033395999999999995 -0.096166
860 -4.19248008 0.94917636 8.625216870000001 -0.298491 0.007615 -0.04696
880 -4.5931989600000005 0.73586772 8.507408580000002 -0.244427 -0.02153 0.001525
900 -4.90724649 0.8083145700000001 8.7141249 -0.160365 -0.029447000000000008 0.043783
920 -4.98284235 0.81595656 8.79166314 -0.065544 -0.019284 0.08395599999999999
940 -4.80291714 0.8114635800000001 8.633143350000001 0.015576 0.0006259999999999999 0.096248
960 -4.687355340000001 0.7777858500000001 8.53584777 0.085224 0.043092 0.072111
980 -4.78330695 0.74081196 8.63614521 0.134588 0.08031100000000001 0.045703
1000 -4.71758976 0.70637886 8.663387580000002 0.18287 0.111156 0.01609
1020 -4.69603719 0.4801995 8.54244009 0.230893 0.100391 0.002552
1040 -4.675230180000001 0.25476570000000004 8.33766615 0.287302 0.068244 0.000851
1060 -4.577934600000001 0.09939492000000001 8.148303720000001 0.338397 0.058413 0.017244
1080 -4.62852477 -0.0344331 8.126604 0.371244 0.043243 0.052744000000000006
