time Ax Ay Az Gx Gy Gz
20 0.46493514 4.03905168 2.9699775 -3.241805 0.568297 1.882336
40 0.53034822 5.78936169 -1.58834691 -2.216001 -0.72729 2.377202
60 -1.2916630800000002 5.6019514500000005 -12.56262714 -1.571906 -1.495735 1.914805
80 -2.9433335400000002 8.30098656 -5.1343185600000005 -1.81322 -1.328088 0.694063
100 -5.874679260000001 6.8311935 -4.88913723 -1.364455 1.43598 -1.209916
120 -5.34717594 7.6173570900000005 -4.5466407 3.890894 -2.252709 -3.189556
140 -6.44080455 4.82446971 -6.54783165 6.427302 -7.726945 -3.045184
160 -5.28326379 3.4729263900000005 -8.34754482 -1.493495 10.6718 1.8581
180 -2.55682935 5.02070895 -7.5636179100000005 -0.570796 3.613273 0.529767
200 1.7329463100000002 6.98552442 -6.29845164 0.854356 -2.868798 -0.205069
220 1.83607884 8.158937759999999 -4.26388707 0.6319859999999999 -2.93835 0.064796
240 1.7452186200000002 8.69167962 -0.9021766500000001 1.353361 -0.246121 -0.363041
260 1.11472992 7.80940746 2.69798544 1.142529 0.711568 -0.447994
280 -1.8738081000000002 7.61122584 7.03806678 1.396796 -0.41122 -0.937229
300 -8.98536159 14.336441910000001 -0.25297047 1.886245 -0.735908 -1.682218
320 -19.825372350000002 21.72761964 -7.552689570000001 1.512206 -0.976018 -1.784936
340 8.102353680000002 25.735681530000004 -5.86031742 1.107996 -0.623404 -1.702753
360 11.181899069999998 13.327983720000002 -9.210942540000001 1.61976 -0.932961 -1.457364
380 -9.933792390000002 12.085272540000002 -8.09891037 2.700335 -0.5647909999999999 -1.7568669999999995
400 0.8511254100000001 7.660167930000001 0.09909081000000002 1.972564 0.359284 -1.5131709999999998
420 1.4545287000000002 11.089390770000001 -6.33767202 -0.204812 0.096963 -0.6264649999999999
440 0.09340101 10.919344230000002 -8.30952126 -0.8855149999999999 0.799673 0.321802
460 -3.80928186 6.75724572 -6.86546964 -1.473044 0.704828 1.105099
480 -4.25176191 4.09563576 -4.28977566 -1.893174 0.561457 1.624709
500 -2.72523762 4.64184675 -1.6001679600000003 -2.553307 0.549355 2.026038
520 -2.8228275000000003 3.8875656600000004 0.73601487 -3.269411 0.395895 2.39511
