time Ax Ay Az Gx Gy Gz
20 2.2008735 11.10929526 5.125038300000001 -1.018695 -1.685198 -1.2633219999999998
40 4.080214440000001 22.768107480000005 10.790166150000001 0.781341 -0.197819 -0.756999
60 20.276082990000003 18.85404501 6.25130478 2.231938 -0.141431 -0.132711
80 20.01502908 15.70279833 -15.31690236 0.525258 -1.312041 0.514892
100 10.689270300000002 8.38975725 -9.712253160000001 0.089327 -1.572949 0.8711040000000001
120 8.34305184 4.86323883 -2.84438988 2.928467 -0.774408 1.177264
140 7.0602177600000005 1.75330206 -5.149288620000001 4.151296 -0.821892 1.335417
160 6.663991860000001 -0.74081196 -4.44365532 3.237096 -2.062727 1.010155
180 4.5493384500000005 -0.6800390100000001 1.48595994 3.933738 -1.777866 0.8309219999999999
200 2.8291157100000004 -2.8586045700000002 3.9764835 4.470429 -0.939482 1.427528
220 2.05837344 -1.22819238 -2.06031582 2.910869 -1.15093 2.1101810000000003
240 3.2064867900000005 6.71548455 -5.14076373 1.897646 -2.4922310000000003 3.549059
260 4.99226976 16.54734123 1.88757153 1.9458 -2.648345 3.121238
280 3.4359525000000004 19.24008813 3.9145137300000004 1.077216 -3.084925 2.231243
300 7.9475715000000005 23.32584522 -2.4544423799999997 -0.438682 -4.525347 1.457653
320 13.77390708 27.640018350000002 -5.751485280000001 -2.526714 -6.5777 1.561066
340 12.95540973 18.69072813 -4.04324055 -3.559172 -6.274979 1.079176
360 10.22208867 19.32391458 -2.2356009 -2.366353 -1.959801 0.641871
380 6.0097041 18.85509468 -4.25385144 -1.53032 2.119209 1.497061
400 4.3066979100000005 13.88856636 -4.38902343 -1.862509 4.971421 0.8693799999999999
420 4.25520522 7.1696385000000005 -3.63399678 -1.465443 4.811571 -0.523807
440 3.63354552 0.7289811 -0.56717496 -0.29685300000000003 4.173234 -1.476226
460 -3.1081317299999998 -6.194416590000001 2.65577301 0.962798 2.3075810000000003 -0.8817879999999999
480 -8.92608957 -11.147024520000002 5.07504654 2.540042 2.326768 1.207965
500 -8.41056426 -5.159618550000001 3.78023445 1.041481 4.026658 2.577598
520 -3.7580834700000003 -0.6538365 4.87132227 -1.1238290000000002 3.343233 0.341447
540 -0.63258804 2.7937899 1.22220828 4.1176 2.648614 -5.777214
560 2.36613276 4.9684707 -3.8526911100000003 -2.897928 5.265741 -2.300166
580 11.482771770000001 8.54034075 -3.89789559 -0.027195 2.169243 -0.32770900000000003
600 9.334136520000001 4.50743013 -0.6487549200000001 -1.1812120000000002 4.246442 0.959458
620 8.952586380000001 14.95704213 3.52800954 -3.391899 4.748761 -0.19642
640 17.75218581 47.35642122 -7.83724824 -1.791147 3.776349 -2.692178
660 -2.68930359 25.231378860000003 14.24198142 -1.387127 2.162143 -3.761919
680 -6.5924377199999995 4.13110872 8.99884053 -3.018027 -3.747821 -2.396277
700 -0.9758203200000001 0.75638043 6.707852370000001 -1.76828 1.262052 -0.78843
720 0.11121597 0.5674692600000001 1.2189121200000002 -0.024365 1.178033 -1.002604
740 2.41507485 7.530244290000001 3.8160115200000004 -0.562137 -0.357002 -1.341951
760 5.16201219 18.908529750000003 7.52649687 0.910411 0.333058 -0.694821
780 9.49236201 26.07907077 0.37871505 1.252418 -0.785018 -0.042589
800 31.44226644 14.00293134 -14.912288910000001 1.004634 -1.173129 1.057515
820 18.58175865 10.34244756 -5.94982386 1.834823 -0.574399 1.391559
840 16.1319564 10.02555513 -6.367612139999999 2.912432 -1.164395 1.7470139999999998
860 11.999346749999999 4.575835260000001 -6.215223600000001 2.9070080000000003 -2.768039 1.586661
880 8.37718083 -0.88481295 -3.79565577 3.050555 -4.75971 1.363753
900 5.87094165 -3.85073892 0.6468027300000001 2.47274 -5.542127 1.191941
920 4.4400648600000014 -5.59941066 1.0876347 3.780566 -3.204379 0.724858
940 1.3665035700000001 -0.9098088300000001 -4.42121004 5.775271 -1.36743 0.756733
960 0.63483453 3.3820661700000003 -7.639665030000001 3.437555 0.373924 4.203485
980 -0.39966921 6.60531825 -3.30991362 1.788568 -1.704379 5.352582
1000 4.0951845 13.68723573 1.41456276 0.792083 -5.716798000000002 3.702497
1020 6.68644695 18.29630727 9.47485116 0.435309 -8.661589 2.50737
1040 4.31148519 18.345553470000002 4.113597870000001 -0.724801 -9.008594 1.049066
1060 17.74140462 28.02801366 -9.24358041 -3.146277 -8.191596 1.300297
1080 17.27947134 20.824540470000002 -14.09888295 -4.085971 -5.361312 2.418148
1100 14.833701000000001 23.3331831 -8.58884139 -4.250904 -0.812105 1.643115
1120 14.47519455 14.556176100000002 -1.25798535 -4.265615 2.397625 0.046181
1140 11.850705629999998 8.1092403 -0.7544282400000001 -3.43176 3.973397 0.064941
1160 1.0548594900000001 -0.14669874000000002 -2.28395439 -2.0704830000000003 5.114053 0.280223
1180 -7.3488181500000005 -9.558373500000002 2.29323465 -0.4439010000000001 6.2245 -0.17131
