time Ax Ay Az Gx Gy Gz
20 3.12266034 4.03441155 -8.45741682 -0.006195 0.049012 0.003099
40 3.13328457 4.00477554 -8.47507482 -0.010477 0.046892 0.00414
60 3.0397266000000003 3.98561661 -8.46968913 -0.010501 0.038383 0.000946
80 3.1213065600000003 4.041896580000001 -8.46564741 -0.003062 0.033026 0.002073
100 3.11606802 4.022737650000001 -8.514295200000001 -0.004152 0.03513 0.00954
120 3.1022947800000003 4.03410744 -8.53300287 -0.004118999999999999 0.043648 0.010598
140 3.1216106700000004 4.01330043 -8.55366273 -0.001928 0.050058 0.004195
160 3.09016962 3.99549528 -8.55875412 -0.00731 0.041546 0.006305
180 3.0734043300000002 4.0080618900000005 -8.526871620000001 0.000182 0.035175 -0.005385
200 3.0747581100000003 3.9754338300000005 -8.516090430000002 0.005521 0.037283 -0.004282
220 3.0870304200000005 3.9694497300000005 -8.492889779999999 -0.00941 0.046888 0.004147
240 3.06457533 3.96885132 -8.489299319999999 -0.000913 0.044702 0.010619
260 3.08148777 4.02962427 -8.5458834 0.01076 0.031874 0.011785
280 3.12699636 4.05371763 -8.51848407 6.2e-05 0.02658 0.012785
300 3.12520113 3.9912966 -8.491388850000002 0.008636 0.032951 0.0107
320 3.1225033800000004 3.98591091 -8.489299319999999 0.014003 0.036145 0.006461
340 3.15050112 3.9716864100000007 -8.51309838 -0.006243 0.042603 0.007379000000000002
360 3.08148777 3.94070643 -8.50246434 0.004435000000000001 0.043635 0.006384
380 3.1593301200000004 4.0278192299999995 -8.51384394 0.007612000000000002 0.037237 0.005347
400 3.1883677200000005 4.02049116 -8.46968913 -0.010496 0.04157 0.003078
420 3.08628486 3.9969864000000004 -8.446037220000001 -0.006195 0.054317 0.008433
440 3.1015492200000003 4.074230340000001 -8.53360128 -0.001961 0.05215 0.013806
460 3.1063365 4.04833194 -8.46025191 -0.008376999999999999 0.044733 0.009498
480 3.06607626 4.0161453300000005 -8.426731140000001 -0.005152 0.046865 0.006313
500 3.0770046 4.02707367 -8.549768160000001 -0.006195 0.04689 0.000965
520 3.10843584 3.9947399100000003 -8.47268118 -0.012611 0.043716000000000005 0.000924
540 3.10873995 3.9770819100000003 -8.413850609999999 -0.007276 0.046881 0.004162
560 3.1353839100000003 4.0083660000000005 -8.51699295 -0.008348000000000001 0.044758 0.003089
580 3.1326861600000004 3.99354309 -8.47148436 -0.007286 0.042628 0.002031
600 3.1957056 3.9869605800000003 -8.475378930000002 -0.017907 0.048013 -0.0033909999999999995
620 3.1581333000000003 3.99189501 -8.57432259 -0.007267 0.046889 0.002026
640 3.12594669 3.9490841700000003 -8.54962101 0.001283 0.046872 -0.001119
660 3.10828869 3.91705452 -8.493782490000001 -0.004061 0.043699 -0.002221
680 3.0717660600000003 3.9451994100000003 -8.526714660000001 0.00233 0.04579 0.002094
