time Ax Ay Az Gx Gy Gz
20 -1.27190574 9.81808344 -0.20283156000000002 -0.010573 0.01816 -0.003302
40 -1.2726513 9.8358984 -0.17588349 -0.013759 0.023489 -0.001194
60 -1.2696592500000001 9.7897914 -0.15358536 -0.016891999999999997 0.038413 -0.001235
80 -1.24660575 9.795775500000001 -0.17438256000000002 -0.016859 0.046931 -0.000178
100 -1.2347847 9.787996170000001 -0.16780005000000003 -0.016912 0.039457 0.004104
120 -1.23462774 9.79457868 -0.17094906 -0.011606 0.033047 0.004149
140 -1.25664138 9.791586630000001 -0.15328125 -0.004162 0.024512 0.001008
160 -1.3019930100000001 9.80416305 -0.14923953 -0.002043 0.016003 -0.004308
180 -1.3049850600000001 9.79203789 -0.12319398000000001 -0.001 0.007490000000000002 -0.007494
200 -1.2880726200000001 9.78589683 -0.08248248000000001 0.004344 0.006418999999999999 -0.01066
220 -1.3247424000000003 9.819133110000001 -0.0634707 0.006406 -0.006384 -0.007425
240 -1.32863697 9.81793629 -0.08157996 0.006382 -0.008527 -0.004217
260 -1.29316401 9.77677353 -0.06691401 0.006401 -0.005327 -0.00529
280 -1.2710032199999999 9.77092677 -0.03742515 0.00433 0.008529 -0.005322
300 -1.31756148 9.736199370000001 -0.08547453 0.005459 0.020251 -0.007465
320 -1.3458535200000001 9.732010500000001 -0.059428980000000006 0.001239 0.030919 -0.007509
340 -1.41770196 9.72377991 -0.02080701 0.001307 0.045832 -0.007527
360 -1.4141115 9.787093650000001 -0.052993620000000005 0.001354 0.055424 -0.008607
380 -1.4142586500000003 9.845178660000002 -0.038621970000000005 0.001422 0.063972 -0.015027
400 -1.40811759 9.77018121 0.00703377 -0.0028120000000000003 0.065078 -0.021467
420 -1.4422465800000002 9.73635633 0.038023560000000005 -0.011314 0.06832 -0.025804
440 -1.38895866 9.74982546 0.00373761 -0.018758 0.07049 -0.029063
460 -1.3063290300000001 9.755809560000001 0.04027005 -0.024078 0.07370399999999999 -0.029105
480 -1.27939077 9.77512545 0.01377324 -0.029383 0.079053 -0.030217
500 -1.2521484 9.771829290000001 0.00329616 -0.029383 0.080114 -0.02915
520 -1.2436137 9.7894971 -0.04221243000000001 -0.032589 0.07906 -0.029171
540 -1.22670126 9.79772769 -0.07005321 -0.035832 0.07585 -0.02278
560 -1.27460349 9.79772769 -0.032932170000000004 -0.032627 0.080087 -0.019559
580 -1.29510639 9.80925444 -0.029341710000000003 -0.028364 0.084312 -0.014193
600 -1.2976471800000002 9.837840779999999 -0.07873506000000001 -0.030560000000000007 0.077898 -0.006723000000000001
620 -1.31127327 9.82526436 -0.09580446000000001 -0.029484 0.08426900000000001 -0.00245
640 -1.3079771100000002 9.763451550000001 -0.11420802000000001 -0.028393 0.08959099999999999 -0.00245
660 -1.2936054600000002 9.82332198 -0.11541465 -0.029398 0.0992 -0.006742000000000001
680 -1.3105277100000001 9.852212430000002 -0.13097330999999998 -0.034741 0.096027 -0.007843000000000001
700 -1.3232512800000003 9.79323471 -0.19399275000000002 -0.03478 0.08856599999999999 -0.006766
720 -1.33237458 9.80490861 -0.19264878 -0.037976 0.084337 -0.012124
740 -1.31201883 9.78545538 -0.17528508000000004 -0.040148 0.0737 -0.014262
760 -1.31471658 9.803113380000001 -0.18621342 -0.04231 0.067316 -0.014269
780 -1.3540841099999998 9.7348554 -0.1360647 -0.043358 0.067337 -0.018549
800 -1.3397124600000003 9.75491685 -0.1793268 -0.042325 0.060937 -0.017465
820 -1.33372836 9.76030254 -0.19893699 -0.045549 0.0535 -0.019615
840 -1.38132648 9.7607538 -0.13591755 -0.047692 0.053499 -0.017493
860 -1.3531815900000002 9.787397760000001 -0.08636724000000001 -0.047692 0.05456 -0.016426
880 -1.3497480900000003 9.78485697 -0.048353490000000006 -0.046688 0.044952 -0.012134
900 -1.3611178800000001 9.79877736 -0.06167547 -0.045635 0.043875 -0.009989
920 -1.3995927 9.77976558 -0.02365191 -0.038153 0.048105 -0.008874
940 -1.4406083100000002 9.73800441 0.00164808 -0.02536 0.049113 -0.005581
960 -1.44104976 9.76300029 0.06256818 -0.014759 0.04265 0.003047
980 -1.4852143800000002 9.77826465 -0.0028449 -0.007363 0.038316 0.014855000000000004
1000 -1.4880592800000003 9.73500255 0.01781496 -0.005253 0.035104 0.01701
1020 -1.45587267 9.73560096 0.00404172 6.2e-05 0.028702 0.014919
1040 -1.4338688400000001 9.77302611 0.00299205 -0.002124 0.012748 0.010651
1060 -1.4244414300000001 9.75431844 -0.00074556 -0.011745 0.003216 0.005255
1080 -1.4868624600000002 9.752817510000002 -0.02634966 -0.023461000000000003 -0.00097 -0.003367
1100 -1.46634975 9.743841360000001 -0.06526593 -0.035216000000000004 -0.012618 -0.010912
1120 -1.4702443200000002 9.756564930000001 -0.04715667 -0.03414 -0.013674 -0.014108
1140 -1.44869175 9.71015382 -0.03922038 -0.034068 -0.001939 -0.018395
1160 -1.41784911 9.69099489 -0.01302768 -0.036158 0.002351 -0.023756
1180 -1.40452713 9.69010218 0.04295799 -0.036158 0.002351 -0.023756
1200 -1.4136602400000002 9.76090095 0.1417545 -0.048889 0.017314 -0.024933
1220 -1.43626248 9.71913978 0.21989115 -0.05949 0.030143 -0.027160000000000004
1240 -1.4883535800000003 9.703718460000001 0.25671789 -0.065872 0.034426 -0.02721
1260 -1.50886629 9.77018121 0.25611948 -0.06161000000000001 0.03759 -0.022911
1280 -1.52772111 9.77706783 0.23665644 -0.058452 0.033296 -0.017543
1300 -1.5423968700000001 9.7983261 0.2200383 -0.054233 0.028995 -0.011098
1320 -1.49628987 9.82078119 0.15313410000000002 -0.043636 0.025711 0.0017989999999999996
1340 -1.4835663000000001 9.76599234 0.12498921000000002 -0.032972 0.034157 0.011476
1360 -1.49030577 9.77377167 0.12783411 -0.013783000000000002 0.03726 0.018016
1380 -1.4202427499999999 9.76209777 0.0663156 0.003229 0.029722 0.023485
1400 -1.3720462199999999 9.78605379 0.05074713 0.013869 0.023294 0.023568
1420 -1.4280318900000002 9.8014653 0.08188407 0.01175 0.018009 0.015013999999999996
1440 -1.41380739 9.79742358 0.01586277 -0.004253 0.014882 0.011702
1460 -1.3989942900000003 9.78993855 -0.02320065 -0.016003 0.002178 0.002022
1480 -1.44898605 9.77317326 -0.00074556 -0.018122 -0.003107 -0.006532
1500 -1.44824049 9.796678020000002 -0.00808344 -0.021261 0.000143 -0.017240000000000002
1520 -1.45572552 9.78874173 0.05074713 -0.023356 0.002306 -0.023667
1540 -1.4141115 9.77601816 0.14833701000000002 -0.03612 0.008751 -0.025901
1560 -1.4780236500000004 9.640855980000001 0.30476727000000003 -0.054233 0.012019 -0.028168
1580 -1.5230809799999998 9.59235534 0.31150674000000006 -0.069106 0.025919 -0.02829
1600 -1.5058644300000001 9.677074500000002 0.34174116 -0.0851 0.022801 -0.033739
1620 -1.52518032 9.747578970000001 0.34503732000000004 -0.08299 0.019589 -0.031583
1640 -1.52413065 9.75057102 0.42571475999999997 -0.062739 0.026928 -0.019701
1660 -1.5239835 9.71659899 0.48947976000000004 -0.03834 0.015048 -0.00028700000000000004
1680 -1.55766123 9.70491528 0.44936667 -0.009659 0.00847 0.021286000000000003
1700 -1.56424374 9.83379906 0.37766538 0.022303 0.013625 0.036458
1720 -1.56424374 9.80581113 0.37751823000000007 0.038148 -0.00673 0.05155
1740 -1.52817237 9.79069392 0.27991854 0.049845 -0.01211 0.054843
1760 -1.51200549 9.808803180000002 0.26165232000000005 0.056285 -0.004672 0.05381
1780 -1.46754657 9.76733631 0.19878984000000002 0.058519000000000015 0.00602 0.042062
1800 -1.40452713 9.95624748 0.15433092 0.047937 0.008256 0.024893
1820 -1.43506566 9.99291726 0.10927359 0.022462 0.022254 0.009742
1840 -1.37623509 9.78634809 -0.00673947 -0.015763 0.039526 -0.014048
1860 -1.2910646700000001 9.61854804 0.04146687000000001 -0.054122 0.035459 -0.029265
1880 -1.32070068 9.584419050000001 0.07918631999999999 -0.060509 0.015335 -0.052785000000000006
1900 -1.41096249 9.58336938 0.12109464000000002 -0.080593 0.060134 -0.049778
1920 -1.4274334800000001 9.5757372 0.3381507 -0.07213 0.048369 -0.045431
1940 -1.4855086800000001 9.605373210000002 0.37227969 -0.048707 0.05355 -0.029251
1960 -1.51021026 9.64309266 0.37391796 -0.024217 0.065092 -0.006662
1980 -1.54044468 9.688002840000001 0.46058931000000003 0.003479 0.080872 0.019149
2000 -1.52592588 9.78455286 0.54112941 0.031112 0.079621 0.041776
2020 -1.5911918100000002 9.795334050000001 0.5674692600000001 0.049109 0.059275 0.05261
2040 -1.58475645 9.88170129 0.49366863 0.061777 0.032585 0.055937
2060 -1.5645478499999999 9.90640287 0.51896862 0.06819299999999999 0.037881 0.058112
2080 -1.54553607 9.935734770000002 0.47226321000000004 0.058716 0.055001 0.047341
2100 -1.55376666 9.858951900000001 0.35805518999999997 0.04388 0.063631 0.033339999999999995
2120 -1.6245752400000002 9.807302250000001 0.22527684 0.030021 0.052017 0.019371
2140 -1.54807686 9.84622833 0.038170710000000004 0.014071 0.044693 4.1e-05
2160 -1.41830037 9.70087356 0.08397360000000001 -0.000789 0.050118 -0.01182
2180 -1.4280318900000002 9.60357798 0.15717582000000002 -0.015677 0.056579 -0.016205
2200 -1.3910580000000001 9.58936329 0.18262296000000003 -0.020968 0.065124 -0.017321
2220 -1.4070777300000001 9.565112970000001 0.25372584000000004 -0.018906 0.054442 -0.011952
2240 -1.49030577 9.53996013 0.37287810000000005 0.002421 0.056481 -0.007533
2260 -1.5124567500000001 9.58291812 0.46118772 0.022682 0.063829 0.002213
2280 -1.51050456 9.6859035 0.5830377300000001 0.035489 0.07864299999999999 0.01617
2300 -1.57412241 9.79758054 0.62809506 0.041886 0.092409 0.031153
2320 -1.63055934 9.78829047 0.62929188 0.049311 0.096589 0.045086
2340 -1.6178357700000001 9.808803180000002 0.61747083 0.055697 0.099736 0.051536
2360 -1.6534656900000002 9.867035340000001 0.57031416 0.063175 0.108207 0.057987
2380 -1.64612781 9.85909905 0.5004081 0.065313 0.109265 0.057999999999999996
2400 -1.5648421500000003 9.82542132 0.37721412000000004 0.067433 0.101817 0.053752
2420 -1.50557013 9.763893 0.30596409 0.063151 0.088027 0.043057
2440 -1.54223991 9.72153342 0.15253569 0.047124 0.067902 0.028016000000000003
2460 -1.4804172899999999 9.731863350000001 0.01197801 0.024701 0.048865 0.012929
2480 -1.4076761400000002 9.75296466 0.11166723 0.003397 0.041543 -0.002166
2500 -1.3831217100000002 9.696390390000001 0.11705292 -0.013692 0.029914 -0.009748
2520 -1.37728476 9.65717001 0.15223158 -0.017897 0.041656 -0.011929
2540 -1.3654637100000002 9.649086570000001 0.210915 -0.013529 0.068255 -0.007659999999999998
2560 -1.3415076900000003 9.69683184 0.30701375999999997 -0.004922 0.094814 0.003049
2580 -1.40392872 9.6887484 0.39263544 0.009019 0.118172 0.010594
2600 -1.4572166400000002 9.75027672 0.46927115999999996 0.021807 0.12448 0.020289
2620 -1.5075125100000002 9.74428281 0.42541065000000006 0.033499 0.121218 0.026784
2640 -1.5347548800000002 9.73739619 0.38828961 0.037743 0.114816 0.025754000000000003
2660 -1.5385023 9.75880161 0.35356221 0.035604000000000004 0.109514 0.021473
2680 -1.51215264 9.85311495 0.32182686000000005 0.027041000000000003 0.10103 0.019287
2700 -1.5402975300000001 9.87301944 0.26973576 0.019601 0.101082 0.012826
2720 -1.47443319 9.868232160000002 0.15522363 0.013181 0.091538 0.0074519999999999986
2740 -1.34734464 9.883202220000001 0.026192700000000003 0.011019 0.08091 0.0031780000000000003
2760 -1.2777426900000002 9.833053500000002 -0.022602240000000003 0.008832 0.062834 -0.003223
2780 -1.1907770400000002 9.81239364 -0.07349652000000001 0.013047 0.047918 -0.006379999999999999
2800 -1.1166821100000002 9.7519248 -0.01392039 0.01408 0.041518 -0.005296
2820 -1.11877164 9.691750260000001 0.05613282 0.013004 0.044696 3.4e-05
2840 -1.20783663 9.72512388 0.05912487 0.014071 0.048937 0.004308
2860 -1.3180127400000001 9.724231170000001 0.09475478999999999 0.013955 0.031858 0.012875
2880 -1.38207204 9.740545200000001 0.13517199 0.018185 0.027565 0.017183
2900 -1.4263838100000001 9.77781339 0.19683765 0.023552 0.033943 0.016144
2920 -1.46261214 9.81868185 0.2026746 0.022462 0.029681 0.01721
2940 -1.52726985 9.83798793 0.19264878 0.024562 0.023278 0.018302
2960 -1.4687433900000002 9.8128449 0.16780005000000003 0.022423 0.02222 0.018288
2980 -1.454823 9.79593246 0.14818986 0.016041 0.024381 0.016104
3000 -1.4956914600000002 9.74488122 0.042065280000000004 0.012826 0.016953 0.011818
3020 -1.45257651 9.7579089 -0.02110131 0.008559 0.011663 0.0064540000000000005
3040 -1.3593226500000002 9.81239364 -0.00942741 0.003253 0.011707 8e-06
