time Ax Ay Az Gx Gy Gz
20 3.9189969000000002 6.52223736 -1.4443459200000002 -0.852707 2.167879 -0.8686530000000001
40 1.73698803 4.92042132 -0.4366431 -1.093693 2.238859 -0.8276979999999999
60 -0.29833191000000003 1.5024211200000002 0.6484508099999999 -1.079506 1.629451 -0.556558
80 -0.58394025 1.80194985 -0.8521750800000001 -1.2655809999999998 1.394384 -0.21893
100 -0.53708769 3.11501835 -1.2660687899999998 -1.679167 1.7154009999999995 -0.21902600000000005
120 -1.1943675 1.81856799 -1.62996093 -2.338486 2.258491 -0.396311
140 -1.9293425100000001 1.85568903 -1.8498520800000002 -2.308052 1.515559 -0.313961
160 -1.76333769 3.0546966600000003 -2.84647941 -1.0739379999999998 0.365688 -0.208796
180 -1.77994602 2.8957256100000004 -3.75255063 -1.090007 1.525878 -0.221077
200 -1.4000341500000002 2.49785163 -5.049000990000001 -1.702538 2.1970490000000003 -0.23476100000000005
220 -1.4632105499999999 2.42870094 -6.394256100000001 -1.489116 3.342747 -0.284945
240 -1.04003658 2.51836434 -8.41624425 -1.833985 4.670262 -0.563588
260 0.40445649000000006 3.41559675 -10.153683540000001 -1.247147 4.783809 -0.696367
280 1.9995428700000002 3.4615467900000003 -10.77249834 -1.428777 4.777842 -0.645285
300 2.7086194800000003 3.2370155100000004 -12.20981049 -1.553585 4.4230730000000005 -0.529266
320 0.68707278 2.50399269 -10.118808990000002 -1.5617530000000002 4.19224 -0.604871
340 -1.51559595 3.5251646400000003 -6.06239361 -1.609558 3.868031 -0.738317
360 1.6816007700000002 13.70070486 -16.83414639 -1.605651 4.480519 -0.996517
380 11.24611533 25.23886389 -7.94278422 -1.690969 4.696962 -1.502659
400 -3.46424454 8.73538317 -1.34061498 -1.489032 3.671922 -1.882358
420 -8.01403425 0.0344331 -3.0994498800000003 -0.950482 1.955186 -1.406379
440 -0.7324244100000001 6.38527014 -0.34279083000000005 -1.251204 1.1569040000000002 -1.048534
460 1.89565497 12.73521447 -1.19855637 -2.1316580000000003 1.176914 -0.494961
480 1.4365665900000002 15.644870280000001 -4.27855302 -2.0916200000000003 -0.354783 0.226195
500 2.13111459 11.689193790000001 -1.46709531 -1.809078 -0.477726 0.6225
520 2.84827464 9.81329616 -1.4135130900000004 -1.250334 0.83176 0.339509
540 2.7934956000000004 9.79742358 -0.5490558900000001 -0.814554 0.989725 0.15220699999999998
560 3.1781947500000003 9.379341 -0.48798864 -0.689762 0.8278790000000001 -0.240888
580 3.51454041 8.80978221 -0.38919213 -0.471274 0.675088 -0.5820649999999999
600 3.6528516000000004 7.528292100000001 0.5029587000000001 -0.231865 0.725565 -0.625323
620 4.12737111 8.97323643 1.38656502 -0.3183 0.881817 -0.464825
640 6.290073899999999 9.7724277 0.96130152 -0.480315 0.910102 -0.471334
660 7.667505810000001 9.28744092 -1.21053438 -0.410703 0.658748 -0.544233
680 5.89474071 7.43728473 -2.1721302000000002 -0.03897 0.850966 -0.451084
700 3.40257888 5.79998592 -3.4522665300000006 0.070364 0.807759 -0.130867
720 3.1897215 7.60134717 -1.2234051000000001 0.326322 0.79098 0.113429
740 0.9228267 6.613097580000001 -0.14878826999999997 0.308243 1.445515 0.281243
760 0.22572810000000001 7.6017886200000016 -1.2629197800000003 0.283223 1.173665 0.354056
780 0.93959199 9.40074642 -0.26973576 0.40638 0.959438 0.274006
800 2.0348686800000007 10.28660904 -0.18172044 0.765774 0.8508959999999999 0.199743
820 4.2647797800000005 8.761732830000001 -0.0634707 1.38121 0.440349 0.302845
840 3.6724617900000003 8.73284238 0.33351057 2.145387 -0.209888 0.544024
860 3.01338675 9.835299990000001 -0.35625996000000004 2.421607 -0.98705 0.980648
880 4.496501790000001 10.29483963 -0.83181933 2.512955 -1.45329 1.08016
900 5.15528253 9.759252870000001 0.8792703000000001 2.91648 -1.109977 0.6573859999999999
920 5.01980643 10.18512459 0.14534496 3.66589 0.195171 -0.037669
940 6.108500610000001 9.74728467 1.83982626 3.792552 1.123033 -0.94703
960 6.212084399999999 9.612563940000001 1.92753747 3.129729 0.7828930000000001 -2.422166
980 5.07564495 10.66382316 -0.32287653 3.010138 -1.114888 -1.921709
1000 2.7711876600000003 11.41391538 -1.5304188600000002 2.959187 -1.552972 -0.749664
1020 1.64717748 11.99336265 -1.80823806 2.31961 -1.80563 -0.415182
1040 2.22541812 11.664796319999999 -1.3780303200000001 1.845529 -0.953617 0.047228
1060 4.11584436 11.63306097 0.9472339800000001 1.332416 -0.414071 0.096364
1080 4.235290920000001 10.79435502 0.7375158 1.322722 -0.630781 -0.578543
1100 1.6780103100000001 11.647432620000002 -1.23358788 1.033665 -0.741121 -0.706471
1120 -1.6660323000000001 14.21997759 -0.77867856 0.705623 -0.37768 -0.4678100000000001
1140 -2.20596489 16.86931524 4.18245426 0.16759000000000002 0.515879 -0.216339
1160 -3.3775731900000006 17.82238617 0.92552445 -0.318485 1.060011 -0.005719
1180 -5.767809120000001 17.655930090000002 -0.24548544000000003 -0.505311 1.642825 0.128961
1200 -6.903797310000001 12.111465240000001 0.020208600000000004 -0.4272220000000001 2.511373 0.240557
1220 -5.19689655 8.62565832 1.2891222900000001 -0.433967 3.26938 0.363452
1240 0.58573548 8.21971071 -0.3555144 -0.58532 3.4131620000000003 0.236161
1260 4.327200810000001 6.568187399999999 -0.31629402 -0.6309319999999999 3.107987 -0.130167
1280 6.659351730000001 5.69895273 -0.55204794 -0.582692 2.122789 -0.21723
1300 3.83921217 4.56880149 -0.03742515 -0.24572800000000006 1.366357 -0.221385
1320 0.19518957000000003 4.370757210000001 0.3008727 0.170798 0.727965 -0.243294
1340 -1.39435416 4.00088097 0.004188870000000001 0.271087 0.6438 -0.327944
1360 -1.47443319 3.8154131100000006 -2.0806715700000002 -0.08695900000000001 1.041071 -0.264724
1380 -1.15200792 4.82851143 -3.7453599000000004 -0.652382 1.440717 -0.349302
