time Ax Ay Az Gx Gy Gz
20 -1.6976205000000002 11.05211277 1.87230717 0.010553 0.45035 -0.475862
40 -2.3891862600000002 12.4389819 2.0986336800000003 -0.203946 -0.34544 -0.54898
60 -2.7273271500000003 12.529096560000001 2.28694644 -0.290024 -0.5208550000000001 -0.563243
80 -2.9970629100000004 13.105551779999999 0.65937915 -0.7495390000000001 -0.367256 -0.481192
100 -3.09990114 15.053297850000002 0.90636552 -1.714379 -0.164877 -0.437984
120 -3.0982530600000002 15.876582480000001 -0.41059755000000003 -2.107475 0.245496 -0.158177
140 -1.70211348 15.13263132 -3.2882139 -1.314442 0.111695 0.113521
160 0.99887382 13.034890350000001 -4.54589514 -0.241417 -0.162606 0.379877
180 2.4424741800000005 10.00190322 -5.5519498800000004 0.5906710000000001 -0.266258 0.53751
200 2.10118428 7.99621929 -4.93284078 0.738869 -0.323095 0.503366
220 0.47316573 9.14074218 -3.2037890400000006 0.070491 -0.427326 0.508445
240 0.34203546 12.05877573 -1.4980851 -0.605934 -0.545946 0.389573
260 -0.07065161999999998 14.758262100000001 0.41463927 -0.74266 -0.65384 0.317185
280 -0.6032463299999998 15.035934150000001 1.5135064200000001 -0.469816 -0.800395 0.233821
300 -0.99153594 12.179124810000001 0.08876088000000001 -0.058367 -1.047245 0.070369
320 -2.79678195 8.61637806 -0.62135559 0.247899 -1.215886 -0.113147
340 -4.3007040000000005 6.958733310000001 -0.6917129100000001 0.350476 -1.25536 -0.187155
360 -4.475096370000001 5.911358850000001 -1.06099074 0.19504 -1.176012 -0.181933
380 -2.8219347900000002 5.505254280000001 -0.6942537000000001 -0.055855 -0.761725 -0.204513
400 -1.0220744700000002 5.79759228 0.0464013 -0.267389 -0.48868 -0.104859
420 0.01990449 5.25991599 0.9586037700000001 -0.382267 -0.4931680000000001 0.051373
440 0.5953100400000001 4.87041975 2.2905369 -0.287235 -0.406426 0.12136
460 0.5936619599999999 4.8319547400000005 3.21516864 -0.138186 -0.111205 0.489491
480 -0.08696565000000002 4.9192244999999994 3.11561676 -0.487781 0.077053 0.600039
500 -0.86969574 5.805528570000001 2.44217007 -1.342118 0.483199 0.472842
520 -1.55856375 7.336997100000001 1.5756233400000001 -1.255709 0.751215 0.506217
540 -2.30895027 8.06103396 1.25753409 -0.172256 0.667425 0.5405979999999999
560 -2.15297127 8.665035660000001 0.83256489 0.326639 1.22415 0.478208
580 -0.81535815 10.007436060000002 0.71506071 -0.350962 0.489211 0.241544
600 -0.12424365 11.66838678 1.7187218100000001 -0.436231 -0.209294 0.236503
620 -0.62494605 13.632603840000002 2.44516212 -0.099033 -0.546639 0.123922
640 -1.3115773800000001 16.87440663 2.34980892 0.220169 -0.416221 -0.266052
660 -1.49718258 17.64156825 2.3616397800000004 0.721671 -0.586604 -0.44927
680 -1.03165884 18.52173126 3.50062002 1.044861 -0.70758 -0.31333
700 -0.5294457 16.18958034 3.5700748200000003 1.002467 -0.33594 -0.241463
720 -0.26315325 13.09372092 2.0348686800000007 0.805543 0.058779 0.053621
740 2.9464727400000004 8.52013215 -2.10626586 0.66057 0.314033 0.281949
760 1.9350225 9.16693488 -1.8540409500000001 0.6292369999999999 0.454687 0.033723
